MIRtoolbox1.6.1,_RMSenergy_Mean,_AttackTime_Mean,_AttackTime_Std,_AttackTime_Slope,_AttackTime_PeriodEntropy,_Duration_Mean,_Duration_Std,_Duration_Slope,_Duration_PeriodEntropy,_Eventdensity_Mean,_Tempo_Mean,_MetricalCentroid_Mean,_MetricalCentroid_Std,_MetricalCentroid_Slope,_MetricalCentroid_PeriodEntropy,_Pulseclarity_Mean,_Spectralcentroid_Mean,_Spectralspread_Mean,_Brightness_Mean,_Rolloff_Mean,_MFCC_Mean_1,_MFCC_Mean_2,_MFCC_Mean_3,_MFCC_Mean_4,_MFCC_Mean_5,_MFCC_Mean_6,_MFCC_Mean_7,_MFCC_Mean_8,_MFCC_Mean_9,_MFCC_Mean_10,_MFCC_Mean_11,_MFCC_Mean_12,_MFCC_Mean_13,_Inharmonicity_Mean,_Spectralirregularity_Mean,_Key_Mean,_Mode_Mean,_Tonalcentroid_Mean_1,_Tonalcentroid_Mean_2,_Tonalcentroid_Mean_3,_Tonalcentroid_Mean_4,_Tonalcentroid_Mean_5,_Tonalcentroid_Mean_6
IsThisLove_short.wav,0.065504,0.047335,0.019655,-0.014878,0.964793,0.607317,0.522742,-0.123283,0.941755,3.008461,123.021329,195.464313,21.951359,-0.353277,0.958630,0.791202,3294.645665,3798.463325,0.523239,7862.752390,2.292118,-0.393812,0.234182,0.028704,-0.271884,-0.182927,0.030541,0.307162,0.132505,0.299239,0.085597,0.161882,-0.000965,0.510423,3.683340,2.000000,-0.077779,0.540285,-1.400277,-0.392622,1.286636,0.327670,-0.520797
Kakkmaddafakka-Restless.wav,0.299435,0.043743,0.018397,-0.081699,0.965284,1.611175,1.554419,0.464691,0.894818,4.246072,113.767632,326.534330,9.289117,0.352729,0.958610,0.769569,4652.795185,5152.463094,0.618563,10838.498068,1.678469,-0.855139,0.221505,0.253437,0.142192,0.022457,-0.053084,0.215445,-0.013025,0.223957,0.002583,0.157519,0.057077,0.448103,4.739214,12.000000,-0.132697,0.333531,-1.531077,0.197482,-0.234353,-0.067810,-0.175158
LosDelincuentesPrimaveraw.wav,0.214640,0.043693,0.018048,-0.025438,0.963323,1.249627,1.083013,-0.264969,0.918799,4.613842,113.773648,337.965460,81.958891,-0.729810,0.947491,0.772847,3245.052423,4056.834173,0.501783,7621.597338,2.357328,-0.383055,0.391285,0.000268,-0.015205,0.055681,0.072064,0.120586,-0.103791,0.052345,-0.042705,0.287334,0.032918,0.464724,4.328129,5.000000,0.240717,0.503481,-1.687948,0.287602,0.945617,-0.161615,-0.069876
LoveToday-Mika.wav,0.282462,0.043286,0.016858,0.040594,0.954019,0.937506,0.996732,-0.187615,0.884294,3.859060,124.456530,229.160127,29.946751,0.568678,0.951352,0.465159,3597.268658,3522.690584,0.637494,7438.586140,1.067821,-0.142927,0.473699,0.068379,0.640371,-0.044496,-0.127158,-0.070417,-0.090441,0.078067,0.328771,0.044410,0.033924,0.457556,4.581770,12.000000,-0.127718,0.485582,-0.949561,0.742957,-0.273239,-0.352635,-0.105043
MammaMiaw.wav,0.099689,0.057339,0.016890,0.003741,0.964397,0.313735,0.247581,-0.156558,0.940636,2.942160,135.963675,267.246431,6.296420,0.158222,0.960142,0.757143,3642.534371,3764.371294,0.591247,8443.665218,1.701795,-0.309244,0.360785,0.103510,0.191912,-0.029455,0.233910,-0.015163,0.030816,0.005515,0.069691,0.125388,-0.007530,0.458515,4.180616,3.000000,-0.023891,1.010181,0.385761,-0.195843,-0.917910,-0.267443,-0.062970
MattandKim-RedPaint.wav,0.220215,0.042744,0.022743,-0.235047,0.962798,6.220394,5.889742,0.612061,0.862898,2.781211,87.497690,205.051841,64.039753,-0.587222,0.953097,0.762147,4051.376702,4338.566928,0.614561,8789.016581,1.295070,0.103658,0.561049,0.093400,-0.014089,-0.000155,-0.283719,0.054770,0.093037,0.151076,0.085509,0.294965,0.156042,0.478872,4.547336,10.000000,-0.001660,0.960374,1.068227,-0.016299,0.862569,-0.023424,0.459343
PrimaveraVivaldiw.wav,0.048928,0.046018,0.024357,0.132832,0.965557,1.895393,1.572164,0.154474,0.840066,2.641257,168.550245,160.488287,36.692299,0.207814,0.960770,0.748862,2381.957075,2624.505126,0.481175,4427.155066,2.300729,-0.521464,0.237235,-0.441505,-0.149768,-0.188670,0.249956,0.176058,-0.116234,-0.296858,-0.178133,-0.303308,-0.158130,0.469801,4.213603,5.000000,0.018568,0.593463,-1.533476,1.040200,0.122127,-0.366181,-0.070357
Sunrise_short.wav,0.106071,0.047907,0.019238,0.008121,0.960711,0.527988,0.521163,0.033843,0.913780,4.199311,74.797400,211.649683,33.178999,-0.290243,0.959857,0.767957,3107.714301,3176.996312,0.610176,6078.335381,1.294316,-0.178182,0.794615,-0.026077,0.235526,-0.019247,0.206063,0.127499,0.103309,0.070180,0.052589,0.086061,0.108765,0.449028,3.720746,5.000000,0.092950,0.081842,-1.155010,0.577131,0.786201,-0.082007,-0.030537
TheView-SameJeans.wav,0.318215,0.049713,0.023017,0.035243,0.967522,3.463631,3.605948,-0.081074,0.885344,3.434981,134.449063,213.321297,35.022176,0.077478,0.963187,0.767127,3430.074951,4073.716164,0.549114,7657.408905,1.920813,-0.334006,0.336543,0.101758,0.058909,0.052145,0.193855,0.052378,0.121538,0.136784,0.079704,0.126949,0.081815,0.491048,4.709067,1.000000,0.083503,0.818545,1.322926,0.084559,0.789689,-0.058522,0.297108
VampireWeekend-Apunk.wav,0.242943,0.048683,0.019573,0.134427,0.959148,0.517989,0.477662,0.140268,0.900371,3.293522,175.940717,299.214084,18.407854,0.106785,0.956146,0.834580,4177.837506,4910.076487,0.555832,10095.707703,1.819322,-0.271884,0.148428,0.103672,0.198209,0.106022,-0.049072,0.364064,0.065639,0.134424,0.215608,0.211325,-0.149930,0.441957,4.540812,3.000000,0.151712,1.281901,0.168047,-0.146280,-0.628371,-0.109017,0.024137
YoungforYou-Gala.wav,0.281549,0.040050,0.020395,-0.130594,0.956408,2.104853,1.338097,-0.026849,0.952323,3.710046,120.417749,213.085376,23.076031,0.638483,0.953343,0.780573,3185.469041,3920.450054,0.471436,7729.915237,2.099014,-0.379330,-0.130135,-0.029271,0.595669,0.369535,-0.145071,0.383190,0.305106,0.145389,-0.177067,0.285930,0.177515,0.399383,4.369474,10.000000,-0.105734,1.419072,-0.139057,0.337939,0.646101,-0.312214,0.289095
